dbn,school_name,school_type,enrollment,rigorous_instruction,collab_teachers,support_environ,effective_school_leadership,strong_fam_community_ties,trust,english_language_learners,students_disabilities,self_contained,economic_need_index,temp_housing,hra_eligible,asian,black,hispanic,white,teachers_3_or_more_yrs_exp,student_attendance_rate,chronically_absent,teacher_attendance_rate
21K100,P.S. 100 The Coney Island School,Elementary,779,0.89,0.91,0.91,0.86,0.95,0.9,0.212,0.177,0.065,0.468,0.041,0.398,0.036,0.028,0.053,0.87,0.833,0.938,0.156,0.973
21K101,P.S. 101 The Verrazano,Elementary,877,0.86,0.96,0.94,0.98,0.96,0.97,0.214,0.255,0.034,0.658,0.022,0.59,0.518,0.013,0.164,0.295,0.791,0.956,0.122,0.964
21K121,P.S. 121 Nelson A. Rockefeller,K-8,337,0.88,0.92,0.83,0.95,0.96,0.91,0.223,0.282,0.018,0.731,0.077,0.641,0.187,0.036,0.427,0.329,0.837,0.943,0.162,0.964
21K128,P.S. 128 Bensonhurst,Elementary,465,0.81,0.87,0.83,0.91,0.92,0.9,0.458,0.196,0.045,0.768,0.015,0.716,0.269,0.011,0.213,0.499,0.711,0.943,0.172,0.957
21K153,P.S. 153 Homecrest,Elementary,486,0.76,0.84,0.86,0.82,0.93,0.86,0.276,0.226,0.082,0.827,0.043,0.78,0.276,0.014,0.366,0.305,0.791,0.938,0.205,0.965
21K177,P.S. 177 The Marlboro,Elementary,913,0.81,0.87,0.85,0.92,0.95,0.93,0.35,0.187,0.056,0.805,0.058,0.743,0.301,0.009,0.31,0.363,0.787,0.939,0.205,0.959
21K188,P.S. 188 Michael E. Berdy,Elementary,363,0.69,0.67,0.53,0.64,0.89,0.77,0.077,0.278,0.124,0.914,0.138,0.865,0.044,0.493,0.355,0.08,0.818,0.859,0.551,0.969
21K199,P.S. 199 Frederick Wachtel,Elementary,531,0.76,0.67,0.77,0.73,0.96,0.8,0.305,0.249,0.113,0.803,0.096,0.719,0.239,0.062,0.215,0.471,0.69,0.932,0.209,0.967
21K209,P.S. 209 Margaret Mead,K-8,670,0.82,0.88,0.82,0.81,0.93,0.9,0.216,0.291,0.112,0.688,0.096,0.616,0.307,0.027,0.249,0.397,0.885,0.94,0.167,0.969
21K212,P.S. 212 Lady Deborah Moody,Elementary,668,0.84,0.86,0.86,0.91,0.96,0.88,0.228,0.278,0.115,0.825,0.103,0.738,0.332,0.12,0.367,0.168,0.803,0.919,0.317,0.962
21K215,P.S. 215 Morris H. Weiss,Elementary,802,0.95,0.96,0.97,0.96,0.93,0.94,0.233,0.163,0.047,0.678,0.032,0.59,0.248,0.015,0.253,0.47,0.965,0.936,0.213,0.959
21K216,P.S. 216 Arturo Toscanini,Elementary,667,0.75,0.81,0.8,0.85,0.95,0.9,0.267,0.175,0.031,0.699,0.04,0.645,0.273,0.028,0.175,0.505,0.704,0.935,0.213,0.957
21K225,P.S. K225 - The Eileen E. Zaglin,K-8,949,0.75,0.74,0.64,0.81,0.89,0.83,0.409,0.201,0.063,0.833,0.068,0.782,0.212,0.021,0.337,0.417,0.827,0.92,0.306,0.957
21K226,P.S. 226 Alfred De B. Mason,K-8,968,0.88,0.94,0.83,0.94,0.95,0.96,0.278,0.183,0.076,0.776,0.09,0.683,0.304,0.017,0.306,0.364,0.848,0.947,0.164,0.967
21K228,I.S. 228 David A. Boody,Middle,1413,0.82,0.85,0.71,0.87,0.87,0.88,0.128,0.158,0.033,0.695,0.048,0.614,0.293,0.052,0.254,0.392,0.735,0.946,0.155,0.969
21K238,P.S. 238 Anne Sullivan,K-8,542,0.71,0.8,0.64,0.81,0.92,0.86,0.397,0.221,0.094,0.889,0.157,0.828,0.212,0.041,0.5,0.232,0.846,0.93,0.23,0.948
21K239,Mark Twain I.S. 239 for the Gifted & Talented,Middle,1336,0.87,0.92,0.81,0.94,0.88,0.92,0.013,0.144,0.026,0.354,0.021,0.244,0.268,0.064,0.07,0.513,0.873,0.96,0.082,0.967
21K253,P.S. 253,Elementary,909,0.96,0.97,0.97,0.99,0.97,0.98,0.221,0.16,0.041,0.878,0.087,0.804,0.355,0.006,0.37,0.253,0.781,0.942,0.166,0.976
21K281,I.S. 281 Joseph B Cavallaro,Middle,1346,0.76,0.74,0.73,0.74,0.86,0.8,0.17,0.178,0.055,0.757,0.054,0.694,0.415,0.06,0.236,0.284,0.72,0.94,0.183,0.96
21K288,P.S. 288 The Shirley Tanyhill,K-8,585,0.68,0.66,0.71,0.72,0.91,0.82,0.055,0.316,0.169,0.97,0.231,0.947,0.022,0.609,0.316,0.05,0.684,0.878,0.494,0.994
21K303,I.S. 303 Herbert S. Eisenberg,Middle,567,0.77,0.73,0.66,0.77,0.84,0.83,0.166,0.162,0.067,0.809,0.125,0.727,0.219,0.102,0.377,0.287,0.639,0.924,0.254,0.964
21K329,P.S. 329 Surfside,Elementary,359,0.58,0.72,0.57,0.71,0.92,0.83,0.045,0.295,0.195,0.936,0.192,0.894,0.053,0.599,0.298,0.042,0.636,0.891,0.47,0.979
21K468,Kingsborough Early College School,Middle,290,0.85,0.92,0.67,0.97,0.93,0.92,0.031,0.21,0.034,0.756,0.1,0.672,0.069,0.266,0.362,0.276,0.897,0.929,0.243,0.961
21K690,Brooklyn Studio Secondary School,Middle,338,0.76,0.77,0.68,0.78,0.88,0.83,0.213,0.225,0.009,0.803,0.047,0.751,0.216,0.038,0.32,0.408,0.839,0.935,0.213,0.954
22K014,J.H.S. 014 Shell Bank,Middle,527,0.85,0.93,0.75,0.95,0.86,0.92,0.262,0.222,0.121,0.817,0.165,0.732,0.157,0.359,0.156,0.313,0.915,0.92,0.254,0.962
22K052,P.S. 052 Sheepshead Bay,Elementary,745,0.86,0.94,0.89,0.92,0.94,0.97,0.285,0.141,0.047,0.709,0.09,0.64,0.179,0.154,0.14,0.511,0.847,0.925,0.263,0.97
22K078,J.H.S. 078 Roy H. Mann,Middle,569,0.94,0.92,0.88,0.94,0.94,0.94,0.063,0.25,0.111,0.647,0.134,0.555,0.067,0.663,0.107,0.137,0.881,0.941,0.143,0.949
22K109,P.S. 109,K-8,561,0.75,0.69,0.61,0.8,0.91,0.75,0.055,0.296,0.144,0.724,0.301,0.638,0.018,0.786,0.153,0.025,0.745,0.922,0.271,0.955
22K119,P.S. 119 Amersfort,Elementary,413,0.87,0.93,0.91,0.92,0.96,0.96,0.082,0.184,0.061,0.715,0.114,0.663,0.174,0.593,0.157,0.036,0.968,0.949,0.155,0.971
22K134,P.S. K134,Elementary,587,0.94,0.98,0.98,0.96,0.94,0.97,0.172,0.141,0.014,0.839,0.089,0.775,0.465,0.036,0.082,0.4,0.75,0.952,0.119,0.977
