dbn,school_name,school_type,enrollment,rigorous_instruction,collab_teachers,support_environ,effective_school_leadership,strong_fam_community_ties,trust,english_language_learners,students_disabilities,self_contained,economic_need_index,temp_housing,hra_eligible,asian,black,hispanic,white,teachers_3_or_more_yrs_exp,student_attendance_rate,chronically_absent,teacher_attendance_rate
24Q019,P.S. 019 Marino Jeantet,Elementary,1889,0.81,0.89,0.87,0.88,0.94,0.94,0.555,0.222,0.087,0.87,0.149,0.806,0.051,0.004,0.935,0.006,0.886,0.955,0.102,0.957
24Q049,P.S. 049 Dorothy Bonawit Kole,K-8,1204,0.82,0.83,0.75,0.85,0.94,0.9,0.066,0.165,0.039,0.355,0.053,0.306,0.194,0.011,0.238,0.539,0.797,0.954,0.113,0.965
24Q058,P.S. 58 - The School of Heroes,Elementary,988,0.71,0.71,0.8,0.67,0.94,0.8,0.128,0.16,0.049,0.59,0.057,0.531,0.399,0.006,0.4,0.182,0.766,0.955,0.122,0.951
24Q061,I.S. 061 Leonardo Da Vinci,Middle,2251,0.8,0.78,0.69,0.89,0.9,0.87,0.32,0.212,0.091,0.859,0.115,0.784,0.059,0.025,0.892,0.02,0.731,0.94,0.178,0.96
24Q068,P.S. 068 Cambridge,Elementary,544,0.85,0.91,0.85,0.93,0.96,0.96,0.147,0.233,0.099,0.719,0.088,0.645,0.028,0.017,0.884,0.068,0.978,0.932,0.227,0.962
24Q071,P.S. 071 Forest,Elementary,640,0.95,0.95,0.96,0.96,0.95,0.96,0.169,0.202,0.025,0.695,0.095,0.625,0.045,0.009,0.542,0.348,0.881,0.923,0.265,0.958
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,Middle,1971,0.79,0.77,0.71,0.79,0.85,0.86,0.135,0.194,0.061,0.685,0.062,0.612,0.29,0.008,0.581,0.115,0.746,0.956,0.117,0.957
24Q077,I.S. 077,Middle,928,0.77,0.8,0.73,0.79,0.86,0.88,0.207,0.29,0.126,0.81,0.105,0.738,0.095,0.019,0.791,0.092,0.75,0.922,0.256,0.957
24Q081,P.S. 81Q Jean Paul Richter,Elementary,597,0.84,0.91,0.86,0.95,0.96,0.95,0.286,0.291,0.121,0.859,0.203,0.776,0.05,0.018,0.854,0.069,0.964,0.95,0.139,0.968
24Q087,P.S./I.S. 087 Middle Village,K-8,546,0.84,0.96,0.67,0.95,0.97,0.92,0.101,0.238,0.086,0.54,0.031,0.462,0.042,0.018,0.573,0.352,0.925,0.927,0.219,0.961
24Q088,P.S. 088 Seneca,Elementary,826,0.74,0.86,0.86,0.86,0.96,0.93,0.162,0.197,0.061,0.645,0.051,0.585,0.075,0.018,0.5,0.389,0.875,0.927,0.254,0.964
24Q089,P.S. 089 Elmhurst,Elementary,1810,0.78,0.86,0.81,0.87,0.95,0.93,0.44,0.162,0.061,0.81,0.099,0.745,0.225,0.001,0.743,0.022,0.636,0.952,0.128,0.964
24Q091,P.S. 091 Richard Arkwright,Elementary,658,0.86,0.91,0.87,0.9,0.94,0.94,0.123,0.201,0.076,0.545,0.046,0.483,0.029,0.023,0.509,0.433,0.902,0.92,0.287,0.958
24Q093,I.S. 093 Ridgewood,Middle,1124,0.81,0.84,0.73,0.85,0.87,0.9,0.136,0.218,0.061,0.741,0.125,0.652,0.076,0.026,0.719,0.173,0.814,0.943,0.164,0.969
24Q102,P.S. 102 Bayview,K-8,1263,0.82,0.88,0.79,0.9,0.93,0.92,0.137,0.146,0.048,0.709,0.086,0.597,0.608,0.032,0.317,0.029,0.806,0.961,0.105,0.962
24Q110,P.S. 110,Elementary,894,0.82,0.84,0.82,0.85,0.96,0.9,0.417,0.199,0.055,0.891,0.181,0.808,0.076,0.003,0.914,0.004,0.549,0.949,0.143,0.971
24Q113,P.S./I.S. 113 Anthony J. Pranzo,K-8,848,0.9,0.96,0.83,0.92,0.97,0.93,0.063,0.159,0.045,0.353,0.039,0.276,0.058,0.015,0.42,0.495,0.946,0.951,0.11,0.959
24Q119,I.S. 119 The Glendale,K-8,1275,0.78,0.82,0.62,0.81,0.89,0.82,0.025,0.091,0.015,0.472,0.032,0.391,0.271,0.02,0.295,0.392,0.753,0.957,0.101,0.969
24Q125,I.S. 125 Thom J. McCann Woodside,Middle,1509,0.86,0.89,0.77,0.89,0.89,0.9,0.166,0.167,0.058,0.78,0.11,0.704,0.388,0.02,0.531,0.054,0.837,0.952,0.128,0.961
24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elemen",K-8,952,0.82,0.8,0.67,0.85,0.95,0.89,0.034,0.137,0.032,0.245,0.017,0.187,0.038,0.006,0.199,0.751,0.758,0.955,0.093,0.962
24Q143,P.S. 143 Louis Armstrong,Elementary,1346,0.62,0.69,0.7,0.71,0.91,0.89,0.577,0.235,0.1,0.896,0.101,0.849,0.039,0.009,0.938,0.01,0.906,0.94,0.175,0.961
24Q153,P.S. 153 Maspeth Elem,Elementary,1076,0.8,0.83,0.8,0.83,0.95,0.9,0.103,0.19,0.049,0.551,0.041,0.467,0.105,0.008,0.456,0.414,0.936,0.941,0.172,0.956
24Q199,P.S. 199 Maurice A. Fitzgerald,Elementary,718,0.78,0.83,0.81,0.88,0.96,0.94,0.355,0.191,0.07,0.745,0.103,0.65,0.32,0.024,0.575,0.064,0.9,0.936,0.195,0.954
24Q211,Elm Tree Elementary School,Elementary,481,0.75,0.79,0.82,0.83,0.95,0.85,0.437,0.237,0.062,0.853,0.316,0.759,0.058,0.033,0.888,0.012,0.585,0.937,0.183,0.973
24Q229,P.S. 229 Emanuel Kaplan,Elementary,1385,0.81,0.84,0.86,0.83,0.95,0.9,0.079,0.208,0.088,0.568,0.06,0.505,0.369,0.022,0.409,0.195,0.938,0.949,0.148,0.963
24Q239,P.S. 239,Elementary,486,0.9,0.91,0.93,0.95,0.96,0.97,0.27,0.261,0.082,0.85,0.226,0.737,0.144,0.012,0.774,0.066,0.956,0.936,0.202,0.941
24Q290,A.C.E. Academy for Scholars at the Geraldine Ferra,Elementary,552,0.88,0.93,0.86,0.9,0.98,0.96,0.101,0.112,0.004,0.515,0.08,0.402,0.165,0.031,0.48,0.288,0.889,0.952,0.094,0.962
24Q305,Learners and Leaders,Elementary,560,0.8,0.81,0.78,0.74,0.94,0.86,0.239,0.261,0.109,0.774,0.154,0.68,0.082,0.018,0.761,0.129,0.72,0.938,0.207,0.972
24Q307,Pioneer Academy,Elementary,899,0.77,0.82,0.87,0.85,0.95,0.86,0.377,0.231,0.07,0.879,0.092,0.826,0.023,0.009,0.952,0.011,0.84,0.96,0.085,0.96
24Q311,Corona Arts & Sciences Academy,Middle,761,0.82,0.84,0.77,0.89,0.92,0.9,0.23,0.196,0.081,0.892,0.131,0.836,0.013,0.018,0.963,0.003,0.338,0.959,0.107,0.972
24Q330,Helen M. Marshall School,Elementary,561,0.76,0.82,0.77,0.81,0.94,0.93,0.299,0.214,0.094,0.865,0.253,0.784,0.064,0.037,0.886,0.007,0.787,0.943,0.166,0.969
24Q343,The Children's Lab School,Elementary,405,0.88,0.95,0.93,0.95,0.96,0.97,0.304,0.217,0.037,0.739,0.052,0.649,0.281,0,0.578,0.126,0.656,0.931,0.235,0.976
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",Middle,158,0.81,0.78,0.75,0.84,0.86,0.87,0.019,0.12,0.006,0.441,0.038,0.342,0.361,0.063,0.335,0.215,0.878,0.973,0.063,0.954
25Q020,P.S. 020 John Bowne,Elementary,1122,0.82,0.87,0.81,0.9,0.94,0.94,0.364,0.144,0.041,0.816,0.078,0.747,0.717,0.04,0.205,0.028,0.878,0.956,0.136,0.972
25Q021,P.S. 021 Edward Hart,Elementary,1258,0.8,0.78,0.83,0.74,0.95,0.88,0.266,0.13,0.05,0.678,0.166,0.566,0.634,0.01,0.294,0.052,0.89,0.955,0.117,0.963
25Q022,P.S. 022 Thomas Jefferson,Elementary,879,0.93,0.94,0.92,0.94,0.96,0.96,0.484,0.121,0.039,0.778,0.065,0.679,0.634,0.009,0.312,0.028,0.924,0.963,0.077,0.952
25Q024,P.S. 024 Andrew Jackson,Elementary,1010,0.8,0.8,0.85,0.84,0.95,0.83,0.388,0.121,0.037,0.728,0.123,0.646,0.848,0.018,0.108,0.013,0.771,0.969,0.074,0.967
25Q025,I.S. 025 Adrien Block,Middle,1053,0.77,0.86,0.72,0.85,0.87,0.86,0.12,0.147,0.043,0.494,0.062,0.419,0.556,0.019,0.232,0.179,0.818,0.967,0.076,0.959
25Q029,P.S. 029 Queens,Elementary,667,0.92,0.92,0.9,0.93,0.97,0.93,0.294,0.205,0.018,0.725,0.067,0.66,0.259,0.012,0.63,0.094,0.843,0.944,0.16,0.959
25Q032,P.S. 032 State Street,Elementary,959,0.9,0.96,0.92,0.94,0.97,0.97,0.147,0.122,0.046,0.557,0.031,0.494,0.703,0.007,0.168,0.094,0.785,0.958,0.097,0.965
25Q079,P.S. 079 Francis Lewis,Elementary,1052,0.85,0.91,0.91,0.87,0.96,0.91,0.125,0.128,0.02,0.415,0.039,0.339,0.538,0.005,0.202,0.243,0.774,0.96,0.093,0.965
25Q107,P.S. 107 Thomas A Dooley,Elementary,870,0.84,0.86,0.92,0.84,0.94,0.9,0.257,0.156,0.07,0.608,0.079,0.531,0.543,0.017,0.329,0.102,0.871,0.95,0.126,0.96
25Q120,P.S. 120 Queens,Elementary,922,0.81,0.86,0.87,0.86,0.95,0.92,0.408,0.139,0.041,0.782,0.024,0.716,0.831,0.004,0.148,0.01,0.794,0.966,0.092,0.962
25Q129,P.S. 129 Patricia Larkin,Elementary,1079,0.9,0.96,0.93,0.96,0.96,0.96,0.219,0.159,0.058,0.638,0.068,0.565,0.344,0.016,0.513,0.115,0.844,0.948,0.152,0.964
25Q130,P.S. 130,Elementary,389,0.93,0.95,0.96,0.97,0.97,0.98,0.139,0.172,0.015,0.41,0.026,0.329,0.522,0.033,0.201,0.216,0.969,0.952,0.107,0.961
25Q154,P.S. 154 Queens,Elementary,631,0.78,0.83,0.84,0.87,0.96,0.85,0.166,0.198,0.079,0.678,0.043,0.61,0.488,0.094,0.269,0.114,0.957,0.947,0.182,0.967
25Q163,P.S. 163 Flushing Heights,Elementary,742,0.77,0.8,0.89,0.79,0.96,0.85,0.431,0.151,0.054,0.698,0.027,0.621,0.811,0.011,0.151,0.012,0.673,0.967,0.076,0.969
25Q164,P.S. 164 Queens Valley,K-8,643,0.76,0.8,0.7,0.76,0.92,0.87,0.14,0.184,0.048,0.55,0.037,0.47,0.316,0.051,0.26,0.359,0.877,0.949,0.138,0.976
25Q165,P.S. 165 Edith K. Bergtraum,Elementary,668,0.85,0.82,0.81,0.84,0.97,0.88,0.124,0.268,0.075,0.618,0.088,0.524,0.531,0.117,0.195,0.136,0.888,0.941,0.181,0.958
25Q169,P.S. 169 Bay Terrace,Elementary,398,0.92,0.95,0.9,0.94,0.97,0.93,0.078,0.178,0,0.335,0.01,0.266,0.337,0.048,0.269,0.317,0.968,0.954,0.103,0.957
25Q184,P.S. 184 Flushing Manor,Elementary,483,0.92,0.94,0.92,0.96,0.96,0.94,0.124,0.186,0.019,0.404,0.064,0.337,0.451,0.002,0.139,0.387,0.879,0.96,0.091,0.97
25Q185,J.H.S. 185 Edward Bleeker,Middle,1506,0.83,0.86,0.75,0.87,0.88,0.89,0.135,0.142,0.05,0.634,0.074,0.541,0.579,0.018,0.296,0.1,0.84,0.964,0.102,0.97
25Q189,J.H.S. 189 Daniel Carter Beard,Middle,775,0.71,0.69,0.67,0.7,0.81,0.81,0.271,0.186,0.075,0.795,0.083,0.695,0.644,0.03,0.297,0.022,0.717,0.969,0.061,0.964
25Q193,P.S. 193 Alfred J. Kennedy,Elementary,510,0.95,0.94,0.95,0.94,0.98,0.95,0.069,0.178,0.033,0.267,0.008,0.237,0.18,0.008,0.192,0.602,0.842,0.951,0.102,0.956
25Q194,J.H.S. 194 William Carr,Middle,1280,0.8,0.78,0.67,0.81,0.87,0.85,0.089,0.141,0.032,0.475,0.055,0.404,0.427,0.014,0.283,0.264,0.833,0.953,0.138,0.959
25Q200,P.S./M.S. 200 - The Magnet School of Global Studie,K-8,493,0.83,0.82,0.64,0.88,0.96,0.9,0.047,0.209,0.065,0.522,0.071,0.43,0.132,0.209,0.493,0.138,0.889,0.937,0.21,0.957
25Q201,P.S. 201 The Discovery School for Inquiry and Rese,Elementary,436,0.87,0.88,0.85,0.93,0.93,0.93,0.094,0.268,0.124,0.76,0.078,0.686,0.167,0.383,0.397,0.028,0.905,0.921,0.286,0.962
25Q209,P.S. 209 Clearview Gardens,Elementary,540,0.9,0.94,0.92,0.94,0.97,0.95,0.08,0.154,0.004,0.312,0.015,0.252,0.487,0.007,0.17,0.317,0.949,0.962,0.069,0.972
25Q214,P.S. 214 Cadwallader Colden,Elementary,408,0.81,0.79,0.8,0.82,0.93,0.89,0.213,0.15,0.025,0.673,0.032,0.549,0.65,0.071,0.235,0.02,0.909,0.961,0.101,0.952
25Q219,P.S. 219 Paul Klapper,K-8,585,0.77,0.77,0.74,0.86,0.94,0.83,0.168,0.32,0.128,0.599,0.118,0.513,0.477,0.074,0.296,0.144,0.803,0.952,0.148,0.969
25Q237,I.S. 237,Middle,1377,0.81,0.81,0.7,0.85,0.84,0.83,0.208,0.123,0.031,0.728,0.052,0.651,0.779,0.05,0.149,0.013,0.884,0.962,0.12,0.956
25Q250,I.S. 250 The Robert F. Kennedy Community Middle Sc,Middle,367,0.76,0.73,0.65,0.75,0.85,0.83,0.15,0.196,0.084,0.747,0.101,0.676,0.311,0.245,0.322,0.074,0.844,0.925,0.258,0.963
25Q252,"Queens School of Inquiry, The",Middle,253,0.78,0.75,0.73,0.78,0.84,0.87,0.067,0.162,0.004,0.6,0.032,0.522,0.474,0.126,0.229,0.162,0.76,0.952,0.147,0.967
25Q281,East-West School of International Studies,Middle,297,0.84,0.77,0.74,0.78,0.91,0.85,0.094,0.128,0,0.724,0.03,0.65,0.811,0.017,0.135,0.027,0.639,0.978,0.05,0.965
25Q285,World Journalism Preparatory: A College Board Scho,Middle,257,0.78,0.91,0.68,0.94,0.92,0.91,0.027,0.179,0,0.47,0.035,0.381,0.202,0.023,0.405,0.342,0.975,0.947,0.157,0.974
25Q294,BELL Academy,Middle,363,0.87,0.87,0.75,0.88,0.93,0.85,0.019,0.201,0.05,0.395,0.025,0.322,0.366,0.039,0.262,0.32,1,0.959,0.107,0.96
25Q379,College Point Collaborative,Middle,154,0.86,0.94,0.79,0.96,0.97,0.93,0.13,0.175,0.071,0.66,0.091,0.545,0.162,0,0.701,0.117,0.25,0.951,0.13,0.981
25Q499,"The Queens College School for Math, Science and Te",K-8,517,0.83,0.81,0.74,0.82,0.94,0.84,0.039,0.103,0.004,0.413,0.017,0.304,0.544,0.199,0.143,0.072,0.724,0.971,0.035,0.965
26Q018,P.S. 018 Winchester,Elementary,554,0.94,0.97,0.97,0.99,0.97,0.98,0.116,0.162,0.029,0.47,0.04,0.379,0.606,0.135,0.146,0.092,0.923,0.96,0.073,0.967
26Q026,P.S. 026 Rufus King,Elementary,685,0.86,0.79,0.88,0.8,0.97,0.82,0.145,0.201,0.051,0.555,0.022,0.493,0.612,0.098,0.15,0.114,0.851,0.944,0.152,0.964
26Q031,P.S. 031 Bayside,Elementary,506,0.9,0.96,0.9,0.97,0.97,0.97,0.119,0.215,0.087,0.456,0.012,0.387,0.557,0.081,0.204,0.134,0.974,0.958,0.114,0.955
26Q041,P.S. 041 Crocheron,Elementary,464,0.9,0.98,0.97,0.98,0.98,0.98,0.075,0.194,0.071,0.351,0.039,0.263,0.528,0.013,0.194,0.237,0.939,0.96,0.081,0.96
26Q046,P.S. 046 Alley Pond,Elementary,523,0.88,0.92,0.91,0.91,0.98,0.91,0.132,0.27,0.101,0.449,0.027,0.365,0.635,0.05,0.141,0.138,0.906,0.961,0.102,0.97
26Q067,J.H.S. 067 Louis Pasteur,Middle,951,0.81,0.85,0.71,0.92,0.91,0.92,0.04,0.09,0.016,0.317,0.02,0.262,0.619,0.036,0.13,0.196,0.821,0.973,0.054,0.97
26Q074,J.H.S. 074 Nathaniel Hawthorne,Middle,1158,0.84,0.9,0.72,0.94,0.9,0.89,0.064,0.15,0.042,0.395,0.034,0.318,0.664,0.035,0.114,0.167,0.822,0.972,0.053,0.969
26Q094,P.S. 094 David D. Porter,Elementary,310,0.94,0.95,1,0.93,0.97,0.91,0.106,0.132,0.035,0.368,0.026,0.294,0.594,0.032,0.161,0.181,0.875,0.967,0.049,0.98
26Q098,P.S. 098 The Douglaston School,Elementary,263,0.87,0.78,0.84,0.78,0.97,0.78,0.027,0.217,0.004,0.202,0.004,0.144,0.285,0.046,0.141,0.464,0.87,0.959,0.078,0.973
26Q115,The James J. Ambrose School,Elementary,724,0.88,0.91,0.89,0.9,0.97,0.93,0.065,0.128,0.026,0.359,0.014,0.301,0.704,0.054,0.13,0.065,0.953,0.96,0.101,0.965
26Q133,P.S. 133 Queens,Elementary,537,0.88,0.9,0.91,0.89,0.96,0.88,0.078,0.158,0.054,0.424,0.056,0.372,0.633,0.065,0.177,0.091,0.837,0.958,0.095,0.971
26Q158,M.S. 158 Marie Curie,Middle,1078,0.74,0.69,0.62,0.63,0.85,0.77,0.067,0.126,0.023,0.425,0.028,0.36,0.636,0.042,0.151,0.147,0.844,0.967,0.082,0.96
26Q159,P.S. 159,Elementary,618,0.86,0.92,0.89,0.93,0.98,0.91,0.189,0.146,0.04,0.407,0.061,0.33,0.618,0.011,0.141,0.214,0.761,0.968,0.054,0.974
26Q162,P.S. 162 John Golden,Elementary,643,0.69,0.55,0.77,0.51,0.96,0.74,0.204,0.157,0.033,0.468,0.017,0.406,0.715,0.017,0.11,0.131,0.927,0.965,0.069,0.967
26Q172,Irwin Altman Middle School 172,Middle,979,0.71,0.61,0.65,0.58,0.88,0.73,0.06,0.174,0.042,0.465,0.027,0.394,0.624,0.083,0.161,0.105,0.846,0.962,0.077,0.963
26Q173,P.S. 173 Fresh Meadows,Elementary,928,0.86,0.86,0.87,0.86,0.97,0.9,0.114,0.164,0.07,0.468,0.033,0.392,0.586,0.017,0.116,0.259,0.839,0.961,0.089,0.961
26Q178,P.S./ IS 178 Holliswood,K-8,514,0.71,0.79,0.64,0.83,0.94,0.83,0.072,0.148,0.014,0.334,0.019,0.257,0.115,0.074,0.086,0.702,0.757,0.955,0.09,0.965
26Q186,P.S. 186 Castlewood,Elementary,347,0.85,0.7,0.84,0.71,0.96,0.77,0.012,0.317,0.063,0.326,0.014,0.271,0.352,0.141,0.182,0.288,0.934,0.95,0.128,0.965
26Q188,P.S. 188 Kingsbury,Elementary,684,0.83,0.85,0.81,0.79,0.96,0.9,0.028,0.096,0.003,0.223,0.012,0.148,0.61,0.012,0.066,0.275,0.927,0.97,0.039,0.968
26Q191,P.S. 191 Mayflower,Elementary,347,0.95,0.96,0.95,0.98,0.97,0.98,0.147,0.13,0.049,0.548,0.066,0.464,0.723,0.037,0.144,0.069,0.958,0.953,0.106,0.97
26Q203,P.S. 203 Oakland Gardens,Elementary,860,0.91,0.96,0.93,0.94,0.96,0.94,0.157,0.105,0.026,0.347,0.016,0.288,0.75,0.016,0.097,0.113,0.797,0.969,0.057,0.955
26Q205,P.S. 205 Alexander Graham Bell,Elementary,280,0.91,0.96,0.9,0.97,0.97,0.96,0.061,0.182,0,0.236,0.025,0.175,0.425,0.039,0.211,0.264,0.913,0.964,0.073,0.961
26Q213,P.S. 213 The Carl Ullman School,Elementary,385,0.86,0.93,0.87,0.94,0.96,0.94,0.161,0.14,0.055,0.489,0.055,0.397,0.647,0.073,0.148,0.114,0.968,0.944,0.18,0.961
26Q216,J.H.S. 216 George J. Ryan,Middle,1520,0.87,0.92,0.77,0.94,0.88,0.9,0.068,0.104,0.028,0.546,0.08,0.459,0.66,0.048,0.139,0.135,0.943,0.966,0.071,0.964
26Q221,P.S. 221 The North Hills School,Elementary,617,0.93,0.98,0.96,0.97,0.98,0.98,0.066,0.144,0.023,0.275,0.006,0.245,0.635,0.026,0.151,0.17,0.905,0.963,0.078,0.963
26Q266,P.S./I.S. 266,K-8,636,0.78,0.7,0.66,0.8,0.94,0.82,0.028,0.214,0.049,0.348,0.017,0.278,0.373,0.223,0.245,0.132,0.94,0.95,0.11,0.959
27Q042,P.S./M.S 042 R. Vernam,K-8,585,0.82,0.8,0.74,0.75,0.91,0.85,0.044,0.301,0.142,0.897,0.214,0.836,0.024,0.701,0.238,0.014,0.783,0.872,0.526,0.962
27Q043,P.S. 043,K-8,808,0.67,0.58,0.68,0.54,0.89,0.72,0.092,0.266,0.104,0.877,0.215,0.814,0.027,0.561,0.342,0.051,0.735,0.896,0.416,0.947
27Q045,P.S. 045 Clarence Witherspoon,Elementary,260,0.84,0.81,0.81,0.84,0.95,0.9,0.104,0.25,0.085,0.75,0.231,0.704,0.065,0.638,0.215,0.027,0.857,0.927,0.286,0.964
27Q047,P.S. 047 Chris Galas,K-8,213,0.87,0.95,0.83,0.94,0.98,0.94,0.019,0.3,0.066,0.334,0.047,0.282,0.005,0.019,0.183,0.779,0.846,0.938,0.178,0.938
27Q053,M.S. 053 Brian Piccolo,Middle,230,0.81,0.75,0.67,0.68,0.89,0.75,0.157,0.348,0.183,0.915,0.317,0.848,0.017,0.522,0.422,0.013,0.5,0.896,0.387,0.969
27Q056,P.S. 056 Harry Eichler,Elementary,358,0.91,0.95,0.94,0.95,0.97,0.98,0.257,0.221,0.059,0.698,0.089,0.612,0.36,0.036,0.436,0.126,0.808,0.945,0.147,0.967
27Q060,P.S. 060 Woodhaven,Elementary,1045,0.87,0.9,0.89,0.9,0.96,0.93,0.199,0.18,0.024,0.737,0.074,0.671,0.178,0.03,0.718,0.033,0.827,0.934,0.22,0.951
27Q062,P. S. 62 - Chester Park School,Elementary,875,0.88,0.91,0.91,0.93,0.96,0.96,0.16,0.139,0.045,0.743,0.026,0.663,0.586,0.04,0.246,0.018,0.823,0.938,0.197,0.96
27Q063,P.S. 063 Old South,Elementary,1114,0.85,0.91,0.87,0.89,0.94,0.93,0.146,0.182,0.092,0.698,0.071,0.604,0.366,0.067,0.46,0.061,0.914,0.928,0.249,0.967
27Q064,P.S. 064 Joseph P. Addabbo,Elementary,555,0.9,0.96,0.92,0.97,0.95,0.96,0.218,0.157,0.058,0.784,0.027,0.71,0.614,0.025,0.294,0.027,0.868,0.937,0.226,0.959
27Q065,P.S. 65 - The Raymond York Elementary School,Elementary,422,0.89,0.91,0.86,0.93,0.95,0.94,0.102,0.22,0.081,0.75,0.078,0.668,0.379,0.057,0.436,0.036,0.865,0.919,0.294,0.944
27Q066,P.S. 066 Jacqueline Kennedy Onassis,Elementary,456,0.92,0.94,0.94,0.96,0.96,0.96,0.316,0.25,0.007,0.668,0.055,0.586,0.156,0.053,0.658,0.086,0.85,0.933,0.231,0.961
27Q090,P.S. 090 Horace Mann,Elementary,756,0.78,0.82,0.83,0.88,0.95,0.86,0.255,0.2,0.098,0.724,0.099,0.644,0.316,0.042,0.571,0.038,0.81,0.937,0.198,0.966
27Q096,P.S. 096,Elementary,279,0.86,0.75,0.87,0.81,0.95,0.84,0.154,0.129,0.039,0.72,0.09,0.642,0.441,0.204,0.158,0.043,0.696,0.943,0.166,0.976
27Q097,P.S. 097 Forest Park,Elementary,678,0.78,0.86,0.8,0.79,0.96,0.89,0.246,0.18,0.075,0.73,0.052,0.665,0.178,0.019,0.723,0.062,0.865,0.935,0.205,0.958
27Q100,P.S. 100 Glen Morris,Elementary,881,0.82,0.87,0.87,0.87,0.95,0.93,0.091,0.201,0.081,0.648,0.037,0.583,0.329,0.069,0.207,0.041,0.955,0.933,0.217,0.96
27Q104,P.S. 104 The Bays Water,Elementary,590,0.9,0.95,0.93,0.94,0.96,0.95,0.136,0.229,0.105,0.863,0.161,0.768,0.027,0.407,0.512,0.041,0.943,0.919,0.295,0.95
27Q105,P.S. 105 The Bay School,K-8,798,0.79,0.77,0.68,0.75,0.94,0.86,0.051,0.322,0.149,0.922,0.193,0.871,0.03,0.607,0.341,0.009,0.8,0.888,0.456,0.958
27Q106,Lighthouse Elementary School,Elementary,192,0.72,0.79,0.65,0.77,0.94,0.83,0.094,0.328,0.146,0.962,0.271,0.917,0.036,0.63,0.266,0.031,0.524,0.885,0.498,0.976
27Q108,P.S. 108 Captain Vincent G. Fowler,Elementary,1376,0.82,0.82,0.88,0.82,0.97,0.88,0.099,0.174,0.07,0.639,0.07,0.552,0.314,0.058,0.565,0.058,0.781,0.939,0.198,0.97
27Q114,P.S./M.S. 114 Belle Harbor,K-8,642,0.86,0.92,0.7,0.96,0.95,0.9,0.006,0.221,0.031,0.187,0.014,0.142,0.016,0.011,0.109,0.85,0.911,0.944,0.109,0.97
27Q123,P.S. 123,Elementary,617,0.86,0.84,0.82,0.86,0.95,0.88,0.075,0.217,0.079,0.68,0.102,0.626,0.118,0.567,0.191,0.028,0.918,0.933,0.205,0.961
27Q124,P.S. 124 Osmond A Church,K-8,1134,0.78,0.83,0.7,0.81,0.92,0.83,0.072,0.132,0.049,0.653,0.069,0.581,0.467,0.191,0.222,0.036,0.946,0.941,0.182,0.973
27Q137,M.S. 137 America's School of Heroes,Middle,1916,0.84,0.87,0.73,0.86,0.87,0.89,0.101,0.16,0.045,0.709,0.07,0.626,0.565,0.046,0.35,0.026,0.864,0.933,0.217,0.961
27Q146,P.S. 146 Howard Beach,K-8,590,0.87,0.9,0.73,0.9,0.96,0.87,0.022,0.246,0.046,0.302,0.034,0.263,0.054,0.014,0.392,0.525,0.979,0.936,0.179,0.968
27Q155,P.S. 155,Elementary,482,0.85,0.95,0.94,0.94,0.96,0.95,0.06,0.168,0.104,0.652,0.062,0.585,0.29,0.222,0.216,0.017,0.882,0.941,0.165,0.967
27Q183,P.S. 183 Dr. Richard R. Green,K-8,443,0.74,0.76,0.73,0.78,0.92,0.82,0.074,0.368,0.113,0.909,0.16,0.871,0.034,0.614,0.271,0.047,0.792,0.882,0.512,0.964
27Q197,P.S. 197 The Ocean School,Elementary,442,0.85,0.88,0.87,0.85,0.93,0.91,0.219,0.267,0.149,0.851,0.115,0.771,0.016,0.414,0.507,0.038,0.717,0.922,0.288,0.973
27Q202,J.H.S. 202 Robert H. Goddard,Middle,1111,0.85,0.89,0.75,0.89,0.9,0.88,0.074,0.16,0.059,0.695,0.081,0.609,0.342,0.081,0.469,0.059,0.93,0.944,0.159,0.964
27Q207,P.S. 207 Rockwood Park,K-8,612,0.8,0.88,0.69,0.88,0.94,0.87,0.01,0.217,0.042,0.166,0.01,0.134,0.041,0.015,0.183,0.75,0.984,0.948,0.111,0.961
27Q210,J.H.S. 210 Elizabeth Blackwell,Middle,1884,0.69,0.7,0.61,0.73,0.82,0.81,0.16,0.165,0.056,0.75,0.066,0.678,0.295,0.046,0.592,0.04,0.771,0.925,0.242,0.967
27Q223,P.S. 223 Lyndon B. Johnson,Elementary,503,0.69,0.79,0.75,0.8,0.95,0.86,0.06,0.245,0.117,0.757,0.097,0.706,0.125,0.559,0.193,0.012,0.891,0.919,0.314,0.969
27Q226,J.H.S. 226 Virgil I. Grissom,Middle,911,0.76,0.77,0.62,0.8,0.87,0.83,0.074,0.206,0.072,0.696,0.109,0.627,0.316,0.345,0.201,0.02,0.656,0.918,0.291,0.947
27Q232,P.S. 232 Lindenwood,K-8,916,0.87,0.93,0.8,0.95,0.94,0.92,0.039,0.211,0.041,0.556,0.028,0.418,0.091,0.087,0.483,0.319,0.969,0.942,0.192,0.976
27Q253,P.S. 253,Elementary,517,0.82,0.84,0.76,0.81,0.96,0.88,0.317,0.284,0.064,0.907,0.234,0.828,0.033,0.302,0.64,0.01,0.841,0.915,0.308,0.966
